Titulo,Preco_Atual,Desconto_Txt,Link,Data_Coleta
TEKKEN 7,"R$41,58",-80%,https://store.playstation.com/pt-br/product/UP0700-CUSA05972_00-000000000TEKKEN7,2025-12-07
Far Cry® 4,"R$17,50",-80%,https://store.playstation.com/pt-br/product/UP0001-CUSA00496_00-FC4GAMEPS4000001,2025-12-07
NARUTO X BORUTO Ultimate Ninja STORM CONNECTIONS Deluxe Edition PS4 e PS5,"R$169,80",-60%,https://store.playstation.com/pt-br/product/UP0700-PPSA06981_00-NARUTOUNSADX0000,2025-12-07
Sonic Racing: CrossWorlds Edição Digital Deluxe para PS4 & PS5,"R$314,93",-30%,https://store.playstation.com/pt-br/product/JP0177-PPSA08804_00-DDXEDITION000000,2025-12-07
Bloodborne™ Complete Edition Bundle,"R$99,75",-50%,https://store.playstation.com/pt-br/product/UP9000-CUSA00900_00-BLOODBORNECOMPLE,2025-12-07
Mortal Kombat™ 1: Expansão Reina o Kaos,"R$49,98",-80%,https://store.playstation.com/pt-br/product/UP1018-PPSA07570_00-MKONEKR000EXPANS,2025-12-07
Mad Max,"R$24,87",-75%,https://store.playstation.com/pt-br/product/UP1018-CUSA02703_00-MADMAXTHEGAME001,2025-12-07
Crash Bandicoot™ - Pacote de Crashiversário,"R$199,60",-60%,https://store.playstation.com/pt-br/product/UP0002-CUSA19035_00-CRASH2021BDL0002,2025-12-07
Assassin's Creed Origins - Edição Deluxe,"R$22,99",-90%,https://store.playstation.com/pt-br/product/UP0001-CUSA05855_00-ACODELUXEBRAZIL0,2025-12-07
Gotham Knights: Deluxe,"R$44,99",-90%,https://store.playstation.com/pt-br/product/UP1018-PPSA02223_00-GOTHAMKNIGHTSDLX,2025-12-07
Far Cry - Pacote Insanidade,"R$65,80",-80%,https://store.playstation.com/pt-br/product/UP0001-CUSA05904_00-FARCRYS345BUNDLE,2025-12-07
Resident Evil 3 Nemesis,"R$26,95",-50%,https://store.playstation.com/pt-br/product/UP0102-PPSA07815_00-CLASSICRE3000001,2025-12-07
DEATH STRANDING DIRECTOR’S CUT,"R$99,80",-60%,https://store.playstation.com/pt-br/product/UP9000-PPSA01969_00-DEATHSTRANDINGUS,2025-12-07
Granblue Fantasy: Relink Standard Edition,"R$119,96",-60%,https://store.playstation.com/pt-br/product/UP5460-PPSA06954_00-GBRELINKDGTLSTD1,2025-12-07
As Garras de Awaji – Assassin's Creed Shadows,"R$87,43",-30%,https://store.playstation.com/pt-br/product/UP0001-PPSA20396_00-DLCEXPANSION0001,2025-12-07
NARUTO SHIPPUDEN: Ultimate Ninja STORM Trilogy,"R$80,46",-65%,https://store.playstation.com/pt-br/product/UP0700-CUSA06417_00-NARUTOUNST000000,2025-12-07
SONIC X SHADOW GENERATIONS PS4 & PS5,"R$124,75",-50%,https://store.playstation.com/pt-br/product/UP0177-PPSA17597_00-SONICXSHADOWGENE,2025-12-07
Assassin's Creed® Odyssey Gold Edition,"R$41,99",-85%,https://store.playstation.com/pt-br/product/UP0001-CUSA09311_00-DYNBRZLGOLD00000,2025-12-07
Street Fighter V: Champion Edition,"R$48,45",-50%,https://store.playstation.com/pt-br/product/UP0102-CUSA01200_00-SFVCE00000000000,2025-12-07
TEKKEN 7 - Edição Definitiva,"R$95,92",-84%,https://store.playstation.com/pt-br/product/UP0700-CUSA05972_00-DEFINITIVE000000,2025-12-07
Pacote Hazelight,"R$98,67",-67%,https://store.playstation.com/pt-br/product/UP0006-PPSA02424_00-HAZELIGHTBUNDLE5,2025-12-07
Subnautica: Below Zero PS4 & PS5,"R$40,47",-75%,https://store.playstation.com/pt-br/product/UP5245-PPSA02456_00-BELOWZERSUB38637,2025-12-07
Assassin's Creed Valhalla - Edição Deluxe,"R$51,73",-85%,https://store.playstation.com/pt-br/product/UP0001-PPSA01491_00-EDITIONDELUXE000,2025-12-07
Call of Duty®: Modern Warfare® Remastered,"R$107,45",-50%,https://store.playstation.com/pt-br/product/UP0002-CUSA03522_00-CODMWRTHEGAME001,2025-12-07
Kingdom Come: Deliverance,"R$29,90",-80%,https://store.playstation.com/pt-br/product/UP2047-CUSA07238_00-KCDGAME010000000,2025-12-07
Far Cry® 6 Deluxe Edition,"R$57,78",-83%,https://store.playstation.com/pt-br/product/UP0001-PPSA01876_00-FC6EDITIONDELUXE,2025-12-07
Days Gone,"R$158,63",-31%,https://store.playstation.com/pt-br/product/UP9000-CUSA08966_00-DAYSGONECOMPLETE,2025-12-07
Tony Hawk's™ Pro Skater™ 1 + 2 - Pacote Cross-Gen Deluxe,"R$91,60",-60%,https://store.playstation.com/pt-br/product/UP0002-PPSA02176_00-TH12RTHEGAME0001,2025-12-07
Pacote Duplo FINAL FANTASY VII REMAKE & REBIRTH,"R$249,75",-50%,https://store.playstation.com/pt-br/product/UP0082-PPSA08666_00-0723074131389351,2025-12-07
Assassin’s Creed® Unity,"R$25,48",-85%,https://store.playstation.com/pt-br/product/UP0001-CUSA00663_00-AC4GAMEPS4000001,2025-12-07
Horizon Zero Dawn: Complete Edition,"R$114,95",-50%,https://store.playstation.com/pt-br/product/UP9000-CUSA10237_00-HRZCE00000000000,2025-12-07
Call of Duty®: Vanguard - Pacote Multi-geração,"R$127,60",-60%,https://store.playstation.com/pt-br/product/UP0002-PPSA01687_00-CODVCROSSGEN0001,2025-12-07
Pacote de Complementos Supremo do Forza Horizon 5,"R$172,18",-35%,https://store.playstation.com/pt-br/product/UP6312-PPSA22327_00-0395595453299648,2025-12-07
Sackboy: Uma Grande Aventura PS4 & PS5,"R$142,75",-58%,https://store.playstation.com/pt-br/product/UP9000-PPSA01289_00-SACKBOYADVENTURE,2025-12-07
Crash Bandicoot™ - Pacote Quadrilogia,"R$144,00",-60%,https://store.playstation.com/pt-br/product/UP0002-CUSA19035_00-CRASH2021BDL0001,2025-12-07
Assassin's Creed Rogue Remastered,"R$11,99",-85%,https://store.playstation.com/pt-br/product/UP0001-CUSA10158_00-ACROGUEBRAZIL000,2025-12-07
Terra-média™: Conjunto das Sombras,"R$34,99",-90%,https://store.playstation.com/pt-br/product/UP1018-CUSA04439_00-SOMGOTYSOWDE0000,2025-12-07
Resident Evil 2,"R$26,95",-50%,https://store.playstation.com/pt-br/product/UP0102-PPSA07813_00-CLASSICRE2000001,2025-12-07
Persona 5 Royal,"R$89,97",-70%,https://store.playstation.com/pt-br/product/UP0177-PPSA05109_00-P5RGAME000000000,2025-12-07
Overcooked,"R$14,18",-80%,https://store.playstation.com/pt-br/product/UP4064-CUSA05724_00-OVERCOOKED000000,2025-12-07
Call of Duty®: Black Ops 4,"R$97,31",-67%,https://store.playstation.com/pt-br/product/UP0002-CUSA12434_00-CODBO4OPEREDN004,2025-12-07
Dying Light: The Beast Deluxe Edition,"R$291,92",-20%,https://store.playstation.com/pt-br/product/UP3050-PPSA24002_00-DLTBDELUXE000000,2025-12-07
The Alters,"R$139,65",-30%,https://store.playstation.com/pt-br/product/EP4361-PPSA16033_00-0158231446437401,2025-12-07
Need for Speed™ Payback,"R$29,74",-75%,https://store.playstation.com/pt-br/product/UP0006-CUSA05999_00-NFS1800000000001,2025-12-07
Mafia III: Definitive Edition,"R$33,98",-80%,https://store.playstation.com/pt-br/product/UP1001-CUSA03652_00-MAFIA3DEFINITIVE,2025-12-07
Devil May Cry 5 Deluxe + Vergil,"R$42,37",-75%,https://store.playstation.com/pt-br/product/UP0102-CUSA08216_00-DMC5PVERBUNDLE02,2025-12-07
Persona 3 Reload Digital Deluxe Edition - PS4 e PS5,"R$174,95",-50%,https://store.playstation.com/pt-br/product/UP0177-PPSA10872_00-ADDCONTENT200011,2025-12-07
Life is Strange Remastered Collection,"R$64,47",-70%,https://store.playstation.com/pt-br/product/UP0082-CUSA23980_00-1951785847228082,2025-12-07
The First Berserker: Khazan Deluxe Edition,"R$188,65",-30%,https://store.playstation.com/pt-br/product/UP8236-PPSA20447_00-0119011093070089,2025-12-07
Blasphemous,"R$25,97",-75%,https://store.playstation.com/pt-br/product/UP4064-CUSA16275_00-BLASPHEMOUS00000,2025-12-07
Ratchet & Clank: Em Uma Outra Dimensão,"R$167,95",-58%,https://store.playstation.com/pt-br/product/UP9000-PPSA01473_00-RATCHETCLANKRIFT,2025-12-07
Diablo III: Eternal Collection,"R$82,17",-67%,https://store.playstation.com/pt-br/product/UP0002-CUSA00243_00-D3ETERNALCOLL000,2025-12-07
Age of Empires II: Definitive Edition - Standard Edition,"R$87,03",-35%,https://store.playstation.com/pt-br/product/UP6312-PPSA18654_00-0135174197988055,2025-12-07
BLEACH Rebirth of Souls Edição Deluxe PS4 e PS5,"R$254,70",-40%,https://store.playstation.com/pt-br/product/UP0700-PPSA03639_00-BROS0DLXEDITION0,2025-12-07
Goat Simulator 3,"R$59,80",-60%,https://store.playstation.com/pt-br/product/UP4664-PPSA04159_00-GS3MAINGAMEPACK0,2025-12-07
The Crew Motorfest Edição Ultimate do Ano 2,"R$149,97",-70%,https://store.playstation.com/pt-br/product/UP0001-PPSA02838_00-THECREWMULTIY200,2025-12-07
Metro Exodus,"R$22,42",-85%,https://store.playstation.com/pt-br/product/UP2047-PPSA02395_00-METROEXODUS0GEN9,2025-12-07
Sea of Thieves: 2025 Deluxe Edition,"R$132,45",-50%,https://store.playstation.com/pt-br/product/UP6312-PPSA17669_00-2025DELUXE000000,2025-12-07
Tainted Grail: The Fall of Avalon,"R$191,92",-20%,https://store.playstation.com/pt-br/product/EP8388-PPSA19411_00-0156050014836696,2025-12-07
Dead Island 2 Ultimate Edition,"R$93,72",-75%,https://store.playstation.com/pt-br/product/UP2047-PPSA03098_00-DI2GEDITPS5SIEA0,2025-12-07
Far Cry 5,"R$50,98",-85%,https://store.playstation.com/pt-br/product/UP0001-CUSA05904_00-FARCRY5GAME00000,2025-12-07
Pacote Little Nightmares I e II PS4 & PS5,"R$85,47",-70%,https://store.playstation.com/pt-br/product/UP0700-PPSA02200_00-LN1LN2BUNDLE0000,2025-12-07
FINAL FANTASY VII REBIRTH Digital Deluxe Edition,"R$224,75",-50%,https://store.playstation.com/pt-br/product/UP0082-PPSA08666_00-0978938405039882,2025-12-07
DEATH STRANDING Digital Deluxe Edition,"R$99,80",-60%,https://store.playstation.com/pt-br/product/UP9000-CUSA11260_00-DEATHSTRANDELUXE,2025-12-07
Spyro™ Reignited Trilogy,"R$62,96",-65%,https://store.playstation.com/pt-br/product/UP0002-CUSA12125_00-SPYROTRILOGY0001,2025-12-07
Sonic Frontiers PS4 & PS5,"R$89,97",-70%,https://store.playstation.com/pt-br/product/UP0177-PPSA03831_00-SONICRANGERS0000,2025-12-07
Resident Evil,"R$20,87",-75%,https://store.playstation.com/pt-br/product/UP0102-CUSA01068_00-BHRHDPS400000001,2025-12-07
Frostpunk 2,"R$153,90",-40%,https://store.playstation.com/pt-br/product/EP4361-PPSA16608_00-0409272951672325,2025-12-07
Echoes of the End: Enhanced Edition,"R$114,95",-50%,https://store.playstation.com/pt-br/product/EP4062-PPSA25636_00-ECHOESOFTHEEND25,2025-12-07
