Titulo,Preco_Atual,Desconto_Txt,Link,Data_Coleta
Edição Ultimate do EA SPORTS FC™ 26 para PS4 e PS5,"R$249,75",-50%,https://store.playstation.com/pt-br/product/UP0006-PPSA27360_00-26ULTIMATEBUNDLE,2025-12-07
Red Dead Redemption 2: Edição Definitiva,"R$99,98",-80%,https://store.playstation.com/pt-br/product/UP1004-CUSA03041_00-RDR2ULTMEDTNBUND,2025-12-07
Gran Turismo® 7,"R$146,95",-58%,https://store.playstation.com/pt-br/product/UP9000-PPSA01317_00-GT7STD0000000PS5,2025-12-07
Grand Theft Auto V (PS4™ e PS5™),"R$98,96",-67%,https://store.playstation.com/pt-br/product/UP1004-PPSA03420_00-GTAVCROSSGENBUND,2025-12-07
God of War,"R$57,45",-50%,https://store.playstation.com/pt-br/product/UP9000-CUSA07408_00-00000000GODOFWAR,2025-12-07
Mortal Kombat™ 1: Edição Definitiva,"R$82,22",-75%,https://store.playstation.com/pt-br/product/UP1018-PPSA07570_00-MK1DEFINED000000,2025-12-07
Grand Theft Auto Online (PlayStation®5),"R$49,95",-50%,https://store.playstation.com/pt-br/product/UP1004-PPSA03420_00-GTAOSTANDALONE01,2025-12-07
Kingdom Come: Deliverance II Royal Edition,"R$224,75",-50%,https://store.playstation.com/pt-br/product/UP2047-PPSA21705_00-KINGDOM2GOLDSIEA,2025-12-07
Forza Horizon 5 Deluxe Edition,"R$200,85",-35%,https://store.playstation.com/pt-br/product/UP6312-PPSA22327_00-0547256477986893,2025-12-07
Hogwarts Legacy: Edição Digital Deluxe,"R$52,48",-85%,https://store.playstation.com/pt-br/product/UP1018-PPSA01593_00-HOGWARTSLGCYDELX,2025-12-07
Ghost of Tsushima VERSÃO DO DIRETOR,"R$146,95",-58%,https://store.playstation.com/pt-br/product/UP9000-PPSA02225_00-GHOSTDIRECTORPS5,2025-12-07
Assassin's Creed Shadows – Edição Deluxe Digital,"R$224,95",-50%,https://store.playstation.com/pt-br/product/UP0001-PPSA20396_00-EDITIONDELUXE000,2025-12-07
Horizon Zero Dawn™ Remastered,"R$170,94",-40%,https://store.playstation.com/pt-br/product/UP9000-PPSA13428_00-HORIZONREMASTER1,2025-12-07
Days Gone Remastered,"R$149,70",-40%,https://store.playstation.com/pt-br/product/UP9000-PPSA28180_00-DAYSGONEREMASTER,2025-12-07
NBA 2K26 Edição SLAM,"R$193,45",-55%,https://store.playstation.com/pt-br/product/UP1001-PPSA28420_00-NBA2K26DELUXE000,2025-12-07
Call of Duty®: WWII - Edição Ouro,"R$105,56",-67%,https://store.playstation.com/pt-br/product/UP0002-CUSA08603_00-CODWWIIGOLDED001,2025-12-07
Call of Duty®: Modern Warfare®,"R$90,42",-67%,https://store.playstation.com/pt-br/product/UP0002-CUSA15240_00-CODMWTHEGAME0001,2025-12-07
Hades,"R$49,80",-60%,https://store.playstation.com/pt-br/product/UP2125-PPSA03355_00-3466019145463410,2025-12-07
Marvel's Spider-Man Remastered,"R$142,45",-50%,https://store.playstation.com/pt-br/product/UP9000-PPSA01467_00-MARVELSSPIDERMAN,2025-12-07
Crash Bandicoot™ 4: It's About Time,"R$82,46",-67%,https://store.playstation.com/pt-br/product/UP0002-PPSA02432_00-CB4THEGAME000001,2025-12-07
Bully,"R$37,50",-40%,https://store.playstation.com/pt-br/product/UP1004-CUSA03507_00-SLUS212690000001,2025-12-07
UFC™ 5 Edição Ultimate,"R$99,90",-80%,https://store.playstation.com/pt-br/product/UP0006-PPSA03540_00-SPDELUXEBUNDLE00,2025-12-07
DOOM: The Dark Ages,"R$174,95",-50%,https://store.playstation.com/pt-br/product/UP1003-PPSA20560_00-DTITAN0000000000,2025-12-07
Tomb Raider: Definitive Survivor Trilogy,"R$49,90",-80%,https://store.playstation.com/pt-br/product/UP0082-CUSA27687_00-4584232154698924,2025-12-07
resident evil 4 (2005),"R$37,49",-75%,https://store.playstation.com/pt-br/product/UP0102-CUSA04885_00-BH4HD00000000001,2025-12-07
Call of Duty®: Black Ops III - Edição Zombies Chronicles,"R$90,42",-67%,https://store.playstation.com/pt-br/product/UP0002-CUSA03005_00-CODBO3ZOMBIESEDN,2025-12-07
Need for Speed™ Heat,"R$29,99",-90%,https://store.playstation.com/pt-br/product/UP0006-CUSA15081_00-NEEDFORSPEED2020,2025-12-07
RESIDENT EVIL 5,"R$28,72",-75%,https://store.playstation.com/pt-br/product/UP0102-CUSA04437_00-RE5HDPS400000000,2025-12-07
Call of Duty®: Modern Warfare® II - Pacote Multigeração,"R$127,60",-60%,https://store.playstation.com/pt-br/product/UP0002-PPSA01649_00-CODMW2CROSSGEN01,2025-12-07
Mortal Kombat X,"R$24,87",-75%,https://store.playstation.com/pt-br/product/UP1018-CUSA00967_00-MORTALKOMBATX000,2025-12-07
The Last of Us Part II,"R$172,42",-25%,https://store.playstation.com/pt-br/product/UP9000-CUSA07820_00-THELASTOFUSPART2,2025-12-07
Batman™: Arkham Knight,"R$15,62",-75%,https://store.playstation.com/pt-br/product/UP1018-CUSA01764_00-BATMANARKHAMKNHT,2025-12-07
SHADOW OF THE COLOSSUS,"R$57,45",-50%,https://store.playstation.com/pt-br/product/UP9000-CUSA08034_00-SOTC0000000000US,2025-12-07
Detroit: Become Human,"R$35,75",-50%,https://store.playstation.com/pt-br/product/UP9000-CUSA08344_00-DETROIT000000001,2025-12-07
Dead Space Edição Digital Deluxe,"R$59,83",-85%,https://store.playstation.com/pt-br/product/UP0006-PPSA03845_00-DSBDLXEDITION000,2025-12-07
Bundle Grand Theft Auto V: Edição Premium & Pacote Tubarão-Branco,"R$101,20",-55%,https://store.playstation.com/pt-br/product/UP1004-CUSA00419_00-PREMIUMPACKOGGW1,2025-12-07
Demon’s Souls,"R$167,95",-58%,https://store.playstation.com/pt-br/product/UP9000-PPSA01342_00-DEMONSSOULS00000,2025-12-07
Resident Evil 6,"R$24,87",-75%,https://store.playstation.com/pt-br/product/UP0102-CUSA03856_00-BH6HDPS400000000,2025-12-07
"Warhammer 40,000: Space Marine 2 - 1-Year Anniversary Edition","R$199,80",-60%,https://store.playstation.com/pt-br/product/UP4133-PPSA04452_00-SMARINESIIEDGOLD,2025-12-07
Subnautica,"R$40,47",-75%,https://store.playstation.com/pt-br/product/UP5245-PPSA02452_00-6063362694848820,2025-12-07
Call of Duty®: Modern Warfare® III - Pacote Multigeração,"R$149,50",-50%,https://store.playstation.com/pt-br/product/UP0002-PPSA01649_00-CODMW3CROSSGEN01,2025-12-07
Edição Deluxe de DRAGON BALL: Sparking! ZERO,"R$320,94",-40%,https://store.playstation.com/pt-br/product/UP0700-PPSA15211_00-DBSZ0DLXEDITION0,2025-12-07
Grounded PS4® & PS5®,"R$107,45",-50%,https://store.playstation.com/pt-br/product/UP6312-PPSA15547_00-OGUNQUIT00000000,2025-12-07
Lords of the Fallen,"R$84,95",-50%,https://store.playstation.com/pt-br/product/UP4321-PPSA07064_00-4092020589534297,2025-12-07
Esquadrão Suicida: Mate a Liga da Justiça - Edição Deluxe Digital,"R$19,99",-95%,https://store.playstation.com/pt-br/product/UP1018-PPSA02182_00-SSKTJLDELUXE0000,2025-12-07
Call of Duty®: Ghosts Edição Ouro,"R$174,86",-67%,https://store.playstation.com/pt-br/product/UP0002-CUSA00018_00-B000000000000343,2025-12-07
Call of Duty®: Black Ops Cold War - Pacote Multigeração PS4™ & PS5®,"R$111,96",-65%,https://store.playstation.com/pt-br/product/UP0002-PPSA01628_00-CODCWTHEGAME0001,2025-12-07
Bundle Red Dead Redemption (PS4 e PS5) e Red Dead Redemption 2 (PS4),"R$199,56",-60%,https://store.playstation.com/pt-br/product/UP1004-CUSA36842_00-REDDEADREDEMPBDL,2025-12-07
Destiny 2: Ano da Profecia - Edição Definitiva,"R$239,99",-40%,https://store.playstation.com/pt-br/product/UP0002-PPSA02409_00-D2Y11APBUNDLE001,2025-12-07
